Neuron and StructuralCell SubClassOf Erythrocyte, True
Can PlantCell be considered a subcategory of 'AnimalCell that is also LeafCell that is also PhotosyntheticCell'?, False
Can PlantCell be considered a subcategory of 'Cell'?, True
Can PlantCell be considered a subcategory of 'Cell that is also LeafCell that is also PhotosyntheticCell'?, True
Can PlantCell be considered a subcategory of 'Miocyte'?, True
Can PlantCell be considered a subcategory of 'Cell that is also LeafCell that is also Miocyte that is also PhotosyntheticCell'?, True
Can PlantCell be considered a subcategory of 'InMatureCell'?, True
Can PlantCell be considered a subcategory of 'Cell that is also InMatureCell that is also LeafCell that is also Miocyte that is also PhotosyntheticCell'?, True
Can PlantCell be considered a subcategory of 'Osteocyte'?, \nFalse
Can PlantCell be considered a subcategory of 'ChondroBlast'?, True
Can PlantCell be considered a subcategory of 'Cell that is also ChondroBlast that is also InMatureCell that is also LeafCell that is also Miocyte that is also PhotosyntheticCell'?, True
Can PlantCell be considered a subcategory of 'MioBlast'?, \nFalse
Can PlantCell be considered a subcategory of 'CellByDevelopmentStage'?, True
Can PlantCell be considered a subcategory of 'Cell that is also CellByDevelopmentStage that is also ChondroBlast that is also InMatureCell that is also LeafCell that is also Miocyte that is also PhotosyntheticCell'?, True
Can PlantCell be considered a subcategory of 'PhotoreceptorCell'?, \nTrue
Can PlantCell be considered a subcategory of 'Cell that is also CellByDevelopmentStage that is also ChondroBlast that is also InMatureCell that is also LeafCell that is also Miocyte that is also PhotoreceptorCell that is also PhotosyntheticCell'?, \nFalse
Can PlantCell be considered a subcategory of 'CellByOrganism'?, True
Can PlantCell be considered a subcategory of 'Cell that is also CellByDevelopmentStage that is also CellByOrganism that is also ChondroBlast that is also InMatureCell that is also LeafCell that is also Miocyte that is also PhotosyntheticCell'?, \nFalse
Can PlantCell be considered a subcategory of 'ElectricallyActiveCell'?, True
Can PlantCell be considered a subcategory of 'Cell that is also CellByDevelopmentStage that is also ChondroBlast that is also ElectricallyActiveCell that is also InMatureCell that is also LeafCell that is also Miocyte that is also PhotosyntheticCell'?, \nFalse
Can PlantCell be considered a subcategory of 'StructuralCell'?, True
Can PlantCell be considered a subcategory of 'Cell that is also CellByDevelopmentStage that is also ChondroBlast that is also InMatureCell that is also LeafCell that is also Miocyte that is also PhotosyntheticCell that is also StructuralCell'?, \nFalse
Can PlantCell be considered a subcategory of 'Neuron'?, True
Can PlantCell be considered a subcategory of 'Cell that is also CellByDevelopmentStage that is also ChondroBlast that is also InMatureCell that is also LeafCell that is also Miocyte that is also Neuron that is also PhotosyntheticCell'?, \nFalse
Can PlantCell be considered a subcategory of 'ChondroCyte'?, \nFalse
Can PlantCell be considered a subcategory of 'Cell that is also CellByDevelopmentStage that is also ChondroBlast that is also CirculatingCell that is also InMatureCell that is also LeafCell that is also Miocyte that is also PhotosyntheticCell'?, False.
Can PlantCell be considered a subcategory of 'AnimalCell that is also Cell that is also CellByDevelopmentStage that is also ChondroBlast that is also InMatureCell that is also LeafCell that is also Miocyte that is also PhotosyntheticCell'?, True
Can PlantCell be considered a subcategory of 'AnimalCell that is also Cell that is also CellByDevelopmentStage that is also ChondroBlast that is also InMatureCell that is also LeafCell that is also Miocyte that is also PhotoreceptorCell that is also PhotosyntheticCell'?, True
Can PlantCell be considered a subcategory of 'AnimalCell that is also Cell that is also CellByDevelopmentStage that is also CellByOrganism that is also ChondroBlast that is also InMatureCell that is also LeafCell that is also Miocyte that is also PhotoreceptorCell that is also PhotosyntheticCell'?, False
Can PlantCell be considered a subcategory of 'AnimalCell that is also Cell that is also CellByDevelopmentStage that is also ChondroBlast that is also ElectricallyActiveCell that is also InMatureCell that is also LeafCell that is also Miocyte that is also PhotoreceptorCell that is also PhotosyntheticCell'?, True
Can PlantCell be considered a subcategory of 'AnimalCell that is also Cell that is also CellByDevelopmentStage that is also ChondroBlast that is also ElectricallyActiveCell that is also InMatureCell that is also LeafCell that is also Miocyte that is also PhotoreceptorCell that is also PhotosyntheticCell that is also StructuralCell'?, \nFalse
Can PlantCell be considered a subcategory of 'AnimalCell that is also Cell that is also CellByDevelopmentStage that is also ChondroBlast that is also ElectricallyActiveCell that is also InMatureCell that is also LeafCell that is also Miocyte that is also Neuron that is also PhotoreceptorCell that is also PhotosyntheticCell'?, True
Can LeafCell that is also SclerenchymaCell be considered a subcategory of 'PhotoreceptorCell'?, \nFalse
Can CellByClass that is also Osteocyte be considered a subcategory of 'LeafCell'?, True
Can CellByClass that is also Osteocyte be considered a subcategory of 'SclerenchymaCell'?, True
Can Osteocyte be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can CellByOrganism that is also Osteocyte be considered a subcategory of 'StructuralCell'?, \nFalse
Can MatureCell that is also MioBlast be considered a subcategory of 'CirculatingCell'?, \nFalse
Can ChondroBlast that is also Neuron be considered a subcategory of 'StructuralCell'?, \nFalse
Can ChondroBlast that is also SclerenchymaCell be considered a subcategory of 'StructuralCell'?, \nFalse
Can Erythrocyte that is also StructuralCell be considered a subcategory of 'CirculatingCell'?, True
Can Erythrocyte that is also StructuralCell be considered a subcategory of 'SclerenchymaCell'?, \nFalse
Can Erythrocyte that is also StructuralCell be considered a subcategory of 'LeafCell'?, \nFalse
Can Erythrocyte that is also StructuralCell be considered a subcategory of 'PhotosyntheticCell'?, True
Can Erythrocyte be considered a subcategory of 'PhotosyntheticCell'?, False
Can StructuralCell be considered a subcategory of 'PhotosyntheticCell'?, \nFalse
Can AnimalCell be considered a subcategory of 'Cell'?, \nTrue
Can AnimalCell be considered a subcategory of 'SclerenchymaCell'?, \nTrue
Can AnimalCell be considered a subcategory of 'LeafCell'?, True
Can AnimalCell be considered a subcategory of 'LeafCell that is also SclerenchymaCell'?, True
Can AnimalCell be considered a subcategory of 'Erythrocyte'?, \nTrue
Can AnimalCell be considered a subcategory of 'Erythrocyte that is also LeafCell that is also SclerenchymaCell'?, False
Can AnimalCell be considered a subcategory of 'PhotosyntheticCell'?, \nTrue
Can AnimalCell be considered a subcategory of 'LeafCell that is also PhotosyntheticCell that is also SclerenchymaCell'?, True
Can AnimalCell be considered a subcategory of 'CirculatingCell'?, True
Can AnimalCell be considered a subcategory of 'CirculatingCell that is also LeafCell that is also PhotosyntheticCell that is also SclerenchymaCell'?, True
Can AnimalCell be considered a subcategory of 'PlantCell'?, False
Can AnimalCell be considered a subcategory of 'CellByClass'?, \nFalse
Can AnimalCell be considered a subcategory of 'MatureCell'?, True
Can AnimalCell be considered a subcategory of 'CirculatingCell that is also LeafCell that is also MatureCell that is also PhotosyntheticCell that is also SclerenchymaCell'?, True
Can AnimalCell be considered a subcategory of 'Cell that is also CirculatingCell that is also LeafCell that is also MatureCell that is also PhotosyntheticCell that is also SclerenchymaCell'?, True
Can AnimalCell be considered a subcategory of 'Miocyte'?, True
Can AnimalCell be considered a subcategory of 'Cell that is also CirculatingCell that is also LeafCell that is also MatureCell that is also Miocyte that is also PhotosyntheticCell that is also SclerenchymaCell'?, True
Can AnimalCell be considered a subcategory of 'InMatureCell'?, \nTrue
Can AnimalCell be considered a subcategory of 'Cell that is also CirculatingCell that is also InMatureCell that is also LeafCell that is also MatureCell that is also Miocyte that is also PhotosyntheticCell that is also SclerenchymaCell'?, \nFalse
Can AnimalCell be considered a subcategory of 'Osteocyte'?, \nTrue
Can AnimalCell be considered a subcategory of 'Cell that is also CirculatingCell that is also LeafCell that is also MatureCell that is also Miocyte that is also Osteocyte that is also PhotosyntheticCell that is also SclerenchymaCell'?, \nFalse
Can AnimalCell be considered a subcategory of 'ChondroBlast'?, True
Can AnimalCell be considered a subcategory of 'Cell that is also ChondroBlast that is also CirculatingCell that is also LeafCell that is also MatureCell that is also Miocyte that is also PhotosyntheticCell that is also SclerenchymaCell'?, \nFalse
Can AnimalCell be considered a subcategory of 'MioBlast'?, True
Can AnimalCell be considered a subcategory of 'Cell that is also CirculatingCell that is also LeafCell that is also MatureCell that is also MioBlast that is also Miocyte that is also PhotosyntheticCell that is also SclerenchymaCell'?, True
Can AnimalCell be considered a subcategory of 'CellByDevelopmentStage'?, \nFalse
Can AnimalCell be considered a subcategory of 'PhotoreceptorCell'?, True
Can AnimalCell be considered a subcategory of 'Cell that is also CirculatingCell that is also LeafCell that is also MatureCell that is also MioBlast that is also Miocyte that is also PhotoreceptorCell that is also PhotosyntheticCell that is also SclerenchymaCell'?, True
Can AnimalCell be considered a subcategory of 'CellByOrganism'?, True
Can AnimalCell be considered a subcategory of 'Cell that is also CellByOrganism that is also CirculatingCell that is also LeafCell that is also MatureCell that is also MioBlast that is also Miocyte that is also PhotoreceptorCell that is also PhotosyntheticCell that is also SclerenchymaCell'?, True
Can AnimalCell be considered a subcategory of 'ElectricallyActiveCell'?, True
Can AnimalCell be considered a subcategory of 'Cell that is also CellByOrganism that is also CirculatingCell that is also ElectricallyActiveCell that is also LeafCell that is also MatureCell that is also MioBlast that is also Miocyte that is also PhotoreceptorCell that is also PhotosyntheticCell that is also SclerenchymaCell'?, True
Can AnimalCell be considered a subcategory of 'StructuralCell'?, \nTrue
Can AnimalCell be considered a subcategory of 'Cell that is also CellByOrganism that is also CirculatingCell that is also ElectricallyActiveCell that is also LeafCell that is also MatureCell that is also MioBlast that is also Miocyte that is also PhotoreceptorCell that is also PhotosyntheticCell that is also SclerenchymaCell that is also StructuralCell'?, True
Can AnimalCell be considered a subcategory of 'Neuron'?, \nFalse
Can AnimalCell be considered a subcategory of 'ChondroCyte'?, \nFalse
Can AnimalCell be considered a subcategory of 'Cell that is also CellByOrganism that is also CirculatingCell that is also ElectricallyActiveCell that is also Erythrocyte that is also LeafCell that is also MatureCell that is also MioBlast that is also Miocyte that is also PhotoreceptorCell that is also PhotosyntheticCell that is also SclerenchymaCell that is also StructuralCell'?, True
Can AnimalCell be considered a subcategory of 'Cell that is also CellByOrganism that is also CirculatingCell that is also ElectricallyActiveCell that is also Erythrocyte that is also InMatureCell that is also LeafCell that is also MatureCell that is also MioBlast that is also Miocyte that is also PhotoreceptorCell that is also PhotosyntheticCell that is also SclerenchymaCell that is also StructuralCell'?, \nTrue
Can AnimalCell be considered a subcategory of 'Cell that is also CellByOrganism that is also CirculatingCell that is also ElectricallyActiveCell that is also Erythrocyte that is also InMatureCell that is also LeafCell that is also MatureCell that is also MioBlast that is also Miocyte that is also Osteocyte that is also PhotoreceptorCell that is also PhotosyntheticCell that is also SclerenchymaCell that is also StructuralCell'?, \nFalse
Can AnimalCell be considered a subcategory of 'Cell that is also CellByOrganism that is also ChondroBlast that is also CirculatingCell that is also ElectricallyActiveCell that is also Erythrocyte that is also InMatureCell that is also LeafCell that is also MatureCell that is also MioBlast that is also Miocyte that is also PhotoreceptorCell that is also PhotosyntheticCell that is also SclerenchymaCell that is also StructuralCell'?, \nFalse
Can ElectricallyActiveCell that is also LeafCell be considered a subcategory of 'Cell'?, True
Can ElectricallyActiveCell that is also LeafCell be considered a subcategory of 'SclerenchymaCell'?, True
Can LeafCell be considered a subcategory of 'SclerenchymaCell'?, True
Can LeafCell be considered a subcategory of 'Erythrocyte'?, \nTrue
Can LeafCell be considered a subcategory of 'Erythrocyte that is also SclerenchymaCell'?, \nFalse
Can LeafCell be considered a subcategory of 'PhotosyntheticCell'?, True
Can LeafCell be considered a subcategory of 'PhotosyntheticCell that is also SclerenchymaCell'?, True
Can LeafCell be considered a subcategory of 'CirculatingCell'?, True
Can LeafCell be considered a subcategory of 'CirculatingCell that is also PhotosyntheticCell that is also SclerenchymaCell'?, False
Can LeafCell be considered a subcategory of 'PlantCell'?, \nFalse
Can LeafCell be considered a subcategory of 'CellByClass'?, \nFalse
Can LeafCell be considered a subcategory of 'MatureCell'?, \nFalse
Can LeafCell be considered a subcategory of 'AnimalCell'?, \nFalse
Can LeafCell be considered a subcategory of 'Cell'?, \nTrue
Can LeafCell be considered a subcategory of 'Cell that is also PhotosyntheticCell that is also SclerenchymaCell'?, \nFalse
Can LeafCell be considered a subcategory of 'Miocyte'?, \nFalse
Can LeafCell be considered a subcategory of 'InMatureCell'?, \nFalse
Can LeafCell be considered a subcategory of 'Osteocyte'?, \nFalse
Can LeafCell be considered a subcategory of 'ChondroBlast'?, \nTrue
Can LeafCell be considered a subcategory of 'ChondroBlast that is also PhotosyntheticCell that is also SclerenchymaCell'?, \nFalse
Can LeafCell be considered a subcategory of 'MioBlast'?, \nFalse
Can LeafCell be considered a subcategory of 'CellByDevelopmentStage'?, True
Can LeafCell be considered a subcategory of 'CellByDevelopmentStage that is also PhotosyntheticCell that is also SclerenchymaCell'?, True
Can LeafCell be considered a subcategory of 'PhotoreceptorCell'?, True
Can LeafCell be considered a subcategory of 'CellByDevelopmentStage that is also PhotoreceptorCell that is also PhotosyntheticCell that is also SclerenchymaCell'?, False.
Can LeafCell be considered a subcategory of 'CellByOrganism'?, \nFalse
Can LeafCell be considered a subcategory of 'ElectricallyActiveCell'?, True
Can LeafCell be considered a subcategory of 'CellByDevelopmentStage that is also ElectricallyActiveCell that is also PhotosyntheticCell that is also SclerenchymaCell'?, \nFalse
